Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit,label
102,312,105,2,2.5,3.0,8.12,0,0.64,0
16,314,105,3,3.5,2.5,8.3,0,0.54,0
140,318,109,1,3.5,3.5,9.12,0,0.78,1
222,316,110,3,3.5,4.0,8.56,0,0.75,1
231,313,104,3,4.0,4.5,8.65,0,0.73,0
284,321,111,3,2.5,3.0,8.9,1,0.8,1
107,329,111,4,4.5,4.5,9.18,1,0.87,1
257,309,99,3,4.0,4.0,8.56,0,0.76,1
88,317,107,2,3.5,3.0,8.28,0,0.66,0
154,324,105,3,3.0,4.0,8.75,0,0.79,1
28,298,98,2,1.5,2.5,7.5,1,0.44,0
392,318,106,3,2.0,3.0,8.65,0,0.71,0
27,322,109,5,4.5,3.5,8.8,0,0.76,1
346,316,98,1,1.5,2.0,7.43,0,0.49,0
98,331,120,3,4.0,4.0,8.96,1,0.86,1
340,324,107,5,3.5,4.0,8.66,1,0.81,1
150,311,106,2,3.5,3.0,8.26,1,0.79,1
367,320,104,3,3.5,4.5,8.34,1,0.74,1
177,329,119,4,4.5,4.5,9.16,1,0.9,1
134,323,112,5,4.0,4.5,8.78,0,0.79,1
103,314,106,2,4.0,3.5,8.25,0,0.62,0
136,314,109,4,3.5,4.0,8.77,1,0.82,1
85,340,115,5,4.5,4.5,9.45,1,0.94,1
350,313,101,3,2.5,3.0,8.04,0,0.62,0
325,315,104,3,3.0,2.5,8.33,0,0.67,0
271,306,105,2,2.5,3.0,8.22,1,0.72,0
270,308,108,4,4.5,5.0,8.34,0,0.77,1
19,318,110,3,4.0,3.0,8.8,0,0.63,0
137,312,103,3,5.0,4.0,8.45,0,0.76,1
113,301,107,3,3.5,3.5,8.34,1,0.62,0
225,305,105,2,3.0,2.0,8.23,0,0.67,0
20,303,102,3,3.5,3.0,8.5,0,0.62,0
46,322,110,5,5.0,4.0,9.1,1,0.88,1
83,320,110,5,5.0,4.5,9.22,1,0.92,1
172,334,117,5,4.0,4.5,9.07,1,0.89,1
382,319,105,3,3.0,3.5,8.67,1,0.73,0
108,338,117,4,3.5,4.5,9.46,1,0.91,1
91,318,106,2,4.0,4.0,7.92,1,0.64,0
64,315,107,2,4.0,3.0,8.5,1,0.56,0
12,327,111,4,4.0,4.5,9.0,1,0.84,1
146,320,113,2,2.0,2.5,8.64,1,0.81,1
366,330,114,4,4.5,3.0,9.17,1,0.86,1
210,301,104,3,3.5,4.0,8.12,1,0.68,0
355,297,98,2,2.5,3.0,7.67,0,0.59,0
185,316,106,2,2.5,4.0,8.32,0,0.72,0
302,319,108,2,2.5,3.0,8.76,0,0.66,0
168,313,102,3,2.0,3.0,8.27,0,0.64,0
226,296,99,2,2.5,2.5,8.03,0,0.61,0
223,324,113,4,4.5,4.0,8.79,0,0.76,1
365,313,102,3,3.5,4.0,8.9,1,0.77,1
101,322,107,3,3.5,3.5,8.46,1,0.71,0
250,321,111,3,3.5,4.0,8.83,1,0.77,1
92,299,97,3,5.0,3.5,7.66,0,0.38,0
182,305,107,2,2.5,2.5,8.42,0,0.71,0
173,322,110,4,4.0,5.0,9.13,1,0.86,1
190,324,112,5,5.0,5.0,9.08,1,0.88,1
288,324,114,5,5.0,4.5,9.08,1,0.89,1
255,321,114,4,4.0,5.0,9.12,0,0.85,1
212,328,110,4,5.0,4.0,9.14,1,0.82,1
200,313,107,3,4.0,4.5,8.69,0,0.72,0
60,311,104,2,2.0,2.0,8.3,0,0.42,0
356,317,106,2,2.0,3.5,8.12,0,0.73,0
71,332,118,5,5.0,5.0,9.64,1,0.94,1
204,334,120,5,4.0,5.0,9.87,1,0.97,1
329,324,112,4,4.0,3.5,8.77,1,0.8,1
307,323,110,3,4.0,3.5,9.1,1,0.79,1
133,309,105,5,3.5,3.5,8.56,0,0.71,0
376,304,101,2,2.0,2.5,7.66,0,0.38,0
181,300,104,3,3.5,3.0,8.16,0,0.71,0
362,334,116,4,4.0,3.5,9.54,1,0.93,1
157,315,105,3,2.0,2.5,8.34,0,0.7,0
334,319,108,3,3.0,3.5,8.54,1,0.71,0
29,295,93,1,2.0,2.0,7.2,0,0.46,0
293,302,99,2,1.0,2.0,7.97,0,0.56,0
381,322,104,3,3.5,4.0,8.84,1,0.78,1
111,305,108,5,3.0,3.0,8.48,0,0.61,0
280,304,102,2,3.0,4.0,8.73,0,0.67,0
41,308,110,3,3.5,3.0,8.0,1,0.46,0
248,311,104,2,2.5,3.5,8.48,0,0.71,0
206,295,99,2,2.5,3.0,7.65,0,0.57,0
9,302,102,1,2.0,1.5,8.0,0,0.5,0
272,299,96,2,1.5,2.0,7.86,0,0.54,0
97,306,100,2,3.0,3.0,8.0,0,0.48,0
224,308,109,2,3.0,4.0,8.45,0,0.71,0
10,323,108,3,3.5,3.0,8.6,0,0.45,0
373,336,119,4,4.5,4.0,9.62,1,0.95,1
278,320,101,2,2.5,3.0,8.62,0,0.7,0
320,327,113,4,3.5,3.0,8.69,1,0.8,1
32,327,103,3,4.0,4.0,8.3,1,0.74,1
65,325,111,3,3.0,3.5,8.7,0,0.52,0
292,300,102,2,1.5,2.0,7.87,0,0.56,0
131,339,114,5,4.0,4.5,9.76,1,0.96,1
300,305,112,3,3.0,3.5,8.65,0,0.71,0
306,321,109,3,3.5,3.5,8.8,1,0.74,1
72,336,112,5,5.0,5.0,9.76,1,0.96,1
145,325,112,2,3.0,3.5,8.96,1,0.8,1
267,312,105,2,2.0,2.5,8.45,0,0.72,0
338,332,118,5,5.0,5.0,9.47,1,0.94,1
232,319,106,3,3.5,2.5,8.33,1,0.74,1
109,331,116,5,5.0,5.0,9.38,1,0.93,1
49,321,110,3,3.5,5.0,8.85,1,0.82,1
161,315,103,1,1.5,2.0,7.86,0,0.57,0
148,326,114,3,3.0,3.0,9.11,1,0.83,1
105,326,112,3,3.5,3.0,9.05,1,0.74,1
11,325,106,3,3.5,4.0,8.4,1,0.52,0
211,325,108,4,4.5,4.0,9.06,1,0.79,1
352,325,110,4,3.5,4.0,8.67,1,0.73,0
303,322,105,2,3.0,3.0,8.45,1,0.65,0
238,329,114,5,4.5,5.0,9.19,1,0.86,1
178,319,110,3,3.5,3.5,9.04,0,0.82,1
221,313,103,3,4.0,4.0,8.75,0,0.76,1
240,299,100,1,1.5,2.0,7.89,0,0.59,0
379,303,98,1,2.0,2.5,7.65,0,0.56,0
117,299,102,3,4.0,3.5,8.62,0,0.56,0
159,306,106,2,2.0,2.5,8.14,0,0.61,0
75,314,106,3,3.0,5.0,8.9,0,0.74,1
304,323,107,3,3.5,3.5,8.55,1,0.73,0
245,314,107,2,2.5,4.0,8.56,0,0.63,0
219,324,110,4,3.0,3.5,8.97,1,0.84,1
67,327,114,3,3.0,3.0,9.02,0,0.61,0
218,321,109,4,4.0,4.0,9.13,1,0.85,1
269,327,113,4,4.5,5.0,9.14,0,0.83,1
77,327,112,3,3.0,3.0,8.72,1,0.74,1
263,308,103,2,2.5,4.0,8.36,1,0.7,0
78,301,99,2,3.0,2.0,8.22,0,0.64,0
241,296,101,1,2.5,3.0,7.68,0,0.6,0
314,301,100,3,3.5,3.0,8.04,0,0.67,0
15,311,104,3,3.5,2.0,8.2,1,0.61,0
42,316,105,2,2.5,2.5,8.2,1,0.49,0
253,318,100,2,2.5,3.5,8.54,1,0.71,0
39,304,105,1,3.0,1.5,7.5,0,0.52,0
318,300,99,1,1.0,2.5,8.01,0,0.58,0
52,312,100,2,1.5,3.5,7.9,1,0.56,0
281,311,102,3,4.5,4.0,8.64,1,0.68,0
118,290,104,4,2.0,2.5,7.46,0,0.45,0
213,338,120,4,5.0,5.0,9.66,1,0.95,1
79,296,95,2,3.0,2.0,7.54,1,0.44,0
209,305,106,2,3.0,3.0,8.16,0,0.64,0
283,312,106,3,4.0,3.5,8.79,1,0.81,1
128,319,112,3,2.5,2.0,8.71,1,0.78,1
100,323,113,3,4.0,4.0,8.88,1,0.79,1
69,318,109,3,3.5,4.0,9.22,1,0.68,0
276,322,110,3,3.5,3.0,8.96,1,0.78,1
287,336,118,5,4.5,4.0,9.19,1,0.92,1
305,313,106,2,2.5,2.0,8.43,0,0.62,0
256,307,110,4,4.0,4.5,8.37,0,0.79,1
81,312,105,3,2.0,3.0,8.02,1,0.5,0
189,331,115,5,4.5,3.5,9.36,1,0.93,1
171,312,101,2,2.5,3.5,8.04,1,0.68,0
152,332,116,5,5.0,5.0,9.28,1,0.94,1
396,324,110,3,3.5,3.5,9.04,1,0.82,1
37,299,106,2,4.0,4.0,8.4,0,0.64,0
260,331,119,4,5.0,4.5,9.34,1,0.9,1
54,324,112,4,4.0,2.5,8.1,1,0.72,0
13,328,112,4,4.0,4.5,9.1,1,0.78,1
391,314,102,2,2.0,2.5,8.24,0,0.64,0
116,310,106,4,4.5,4.5,9.04,1,0.66,0
290,313,109,3,4.0,3.5,9.0,0,0.79,1
87,315,106,3,4.5,3.5,8.42,0,0.72,0
299,330,114,3,4.5,4.5,9.24,1,0.9,1
201,317,103,3,2.5,3.0,8.54,1,0.73,0
327,299,100,3,2.0,2.0,8.02,0,0.63,0
61,309,100,2,3.0,3.0,8.1,0,0.48,0
336,325,111,4,4.0,4.5,9.11,1,0.83,1
175,321,111,4,4.0,4.0,8.97,1,0.87,1
345,295,96,2,1.5,2.0,7.34,0,0.47,0
351,318,107,3,3.0,3.5,8.27,1,0.74,1
242,317,103,2,2.5,2.0,8.15,0,0.65,0
57,316,102,3,2.0,3.0,7.4,0,0.64,0
86,319,103,4,4.5,3.5,8.66,0,0.76,1
214,333,119,5,5.0,4.5,9.78,1,0.96,1
377,297,96,2,2.5,2.0,7.43,0,0.34,0
311,320,104,3,3.0,3.5,8.74,1,0.76,1
234,304,100,2,2.5,3.5,8.07,0,0.64,0
341,312,107,3,3.0,3.0,8.46,1,0.75,1
301,309,106,2,2.5,2.5,8.0,0,0.62,0
220,312,104,3,3.5,3.5,8.42,0,0.74,1
361,322,110,3,4.0,5.0,8.64,1,0.85,1
8,308,101,2,3.0,4.0,7.9,0,0.68,0
93,298,98,2,4.0,3.0,8.03,0,0.34,0
364,306,103,2,2.5,3.0,8.36,0,0.69,0
217,322,112,4,4.5,4.5,9.26,1,0.91,1
259,326,102,4,5.0,5.0,8.76,1,0.77,1
124,308,108,3,3.5,3.5,8.22,0,0.61,0
388,307,105,2,2.0,3.5,8.1,0,0.53,0
68,316,107,2,3.5,3.5,8.64,1,0.57,0
397,325,107,3,3.0,3.5,9.11,1,0.84,1
368,311,98,1,1.0,2.5,7.46,0,0.57,0
169,293,97,2,2.0,4.0,7.8,1,0.64,0
56,320,103,3,3.0,3.0,7.7,0,0.64,0
298,320,120,3,4.0,4.5,9.11,0,0.86,1
312,328,108,4,4.5,4.0,9.18,1,0.84,1
215,331,117,4,4.5,5.0,9.42,1,0.94,1
349,302,99,1,2.0,2.0,7.25,0,0.57,0
266,313,102,3,2.5,2.5,8.68,0,0.71,0
158,309,104,2,2.0,2.5,8.26,0,0.65,0
95,303,99,3,2.0,2.5,7.66,0,0.36,0
48,339,119,5,4.5,4.0,9.7,0,0.89,1
2,324,107,4,4.0,4.5,8.87,1,0.76,1
40,307,108,2,4.0,3.5,7.7,0,0.48,0
21,312,107,3,3.0,2.0,7.9,1,0.64,0
135,333,113,5,4.0,4.0,9.28,1,0.89,1
187,317,107,3,3.5,3.0,8.68,1,0.84,1
375,315,105,2,2.0,2.5,7.65,0,0.39,0
26,340,120,5,4.5,4.5,9.6,1,0.94,1
44,332,117,4,4.5,4.0,9.1,0,0.87,1
188,335,118,5,4.5,3.5,9.44,1,0.93,1
99,332,119,4,5.0,4.5,9.24,1,0.9,1
261,327,108,5,5.0,3.5,9.13,1,0.87,1
18,319,106,3,4.0,3.0,8.0,1,0.65,0
36,320,110,5,5.0,5.0,9.2,1,0.88,1
313,311,107,4,4.5,4.5,9.0,1,0.78,1
129,326,112,3,3.5,3.0,9.1,1,0.84,1
